?|100133144,0.013266311,0.014261515,0.008924489,0.014743413,0.023487462,0.015860448,0.02495981,0.033907242,0.018758396,0.022207748
?|553137,0.0039415425,5.473206e-07,7.7117395e-23,0.009074888,0.0050796755,0.003114785,0.012261663,0.013973205,0.004938165,0.009613108
?|57714,0.044583555,0.040456854,0.03925671,0.073255844,0.07262198,0.056943357,0.05668599,0.10468323,0.05725919,0.059597567
?|652919,0.015474121,0.016326303,0.022825792,0.008593228,0.021813614,0.02319003,0.0035466212,0.057537127,0.02037058,0.017994305
?|653553,0.038228404,0.05454562,0.03564611,0.080444135,0.03388553,0.042289305,0.07645874,0.06617179,0.05726652,0.051553003
?|729884,0.0053061475,0.025802992,0.0004252101,0.02473317,0.04265799,0.013678789,0.018560056,0.0073818634,0.018917004,0.008875693
?|90288,0.04607388,0.042409938,0.040052924,0.027405145,0.019896306,0.029495422,0.047953587,0.0144431,0.020622471,0.037748773
A1BG|1,0.05049479,0.04086346,0.03796371,0.06506952,0.037244596,0.028829759,0.06478286,0.03392371,0.047862288,0.052050374
A2ML1|144568,0.0,0.0,0.0,0.040205732,0.08031044,0.000351208,0.015263242,0.044589967,0.048508834,3.2986602e-09
AACSL|729522,0.0,9.624265e-05,0.0,0.009233445,0.014779715,0.0,0.009205812,0.0110574765,0.0058654877,0.0014643455
AADAC|13,0.0,0.0,0.0,0.003604487,0.015351466,0.039738167,0.0,0.010673553,0.038291186,0.0
AADAT|51166,0.014989734,0.02271739,0.008901472,0.05446064,0.046931103,0.038883273,0.02267229,0.074304946,0.053472612,0.027851375
AASS|10157,0.053937867,0.027951764,0.038620353,0.049720798,0.05505596,0.06844515,0.040706974,0.055277992,0.06509984,0.046998475
AATK|9625,0.049440496,0.0471376,0.030637505,0.04746209,0.024293052,0.025634177,0.04295658,0.03294732,0.045665074,0.039156478
ABAT|18,0.074051,0.07276901,0.054925527,0.06805009,0.060838904,0.06221741,0.065044284,0.0655689,0.050188877,0.06608101
ABCA10|10349,0.029299043,0.0013503402,0.021642845,0.02124169,0.012607795,0.07669085,0.014925572,0.00088254147,0.053315487,0.030822173
ABCA12|26154,0.0090186335,0.049720027,0.04607118,0.06624956,0.061483525,0.034604702,0.034399707,0.05591863,0.03250322,0.043468036
ABCA13|154664,0.007760201,0.0,0.0,0.017542528,0.045125153,0.014297591,2.4582808e-33,0.026367104,0.035484016,0.007874745
ABCA17P|650655,0.02965267,0.009787958,0.012416549,0.028654091,0.020501941,0.009920824,0.03851034,0.022591164,0.022469569,0.026072003
ABCA4|24,0.021204583,0.008823513,0.024075216,0.040878467,0.023894621,0.042560577,0.037919503,0.042005833,0.03880438,0.030812586
ABCA6|23460,0.022459248,0.003940957,0.030041693,0.044609334,0.03785057,0.08180351,0.026540551,0.053048953,0.06556363,0.037363518
ABCA8|10351,0.024003677,0.010269959,0.03676168,0.030529607,0.018709881,0.09864984,0.03416023,0.02807223,0.079351574,0.036428757
ABCA9|10350,0.022893345,0.003069264,0.031067805,0.03730793,0.024610335,0.09009987,0.024850342,0.037508957,0.06573571,0.035910837
ABCB11|8647,7.323655e-12,0.005705408,0.0065763313,0.00010970571,0.007964431,0.02333605,0.0095474515,0.008967213,0.017082965,6.391533e-22
ABCB1|5243,0.030217791,0.013799555,0.02955566,0.03663577,0.046978183,0.06979056,0.03450772,0.023307227,0.057850208,0.047083143
ABCB5|340273,0.007814516,5.6386847e-21,0.013396557,0.010219129,1.2011044e-28,0.06544726,0.0025100717,3.5112185e-05,0.036907185,0.014268311
ABCC11|85320,0.04432736,0.0856751,0.03744356,0.06654627,0.060316104,0.05296013,0.03916335,0.027300883,0.037818693,0.055464108
ABCC12|94160,0.009071052,0.04673938,0.00078439707,0.035863593,0.035325177,0.011705111,0.013239977,1.0702104e-12,0.0053204987,0.01067294
ABCC13|150000,0.010469271,0.01580936,0.011264539,0.020576566,0.0,0.0055752858,0.038275536,0.04214626,7.03253e-24,0.019210227
ABCC2|1244,1.9502352e-07,0.002692094,0.00901275,0.037096776,0.04229434,0.029784355,0.02532336,0.03316382,0.035465114,0.01292784
ABCC3|8714,0.035362102,0.037895873,0.04234651,0.08135009,0.050883543,0.05491061,0.050711945,0.06925246,0.060136016,0.057718687
ABCC4|10257,0.021342212,0.021840343,0.02603508,0.06630908,0.07522032,0.047625873,0.035349183,0.0764121,0.054931052,0.04173912
ABCC6P1|653190,0.010231151,0.01329898,0.009302015,0.01161218,0.02069235,0.031462446,0.008702308,4.0903647e-05,0.020696027,0.0046202014
ABCC6P2|730013,0.021029906,0.019899834,0.019514982,0.03014799,0.036629237,0.03540012,0.026537308,0.02251684,0.026716165,0.02176926
ABCC6|368,0.03443834,0.03220005,0.03345334,0.04073743,0.03966398,0.059241123,0.034567695,0.029766012,0.047401242,0.03182801
ABCC8|6833,0.05546772,0.08958741,0.058919087,0.031273033,1.1951271e-09,0.040100787,0.04196233,0.003998521,0.02205614,0.059428472
ABCC9|10060,0.029051445,0.030052593,0.031996045,0.054709055,0.052905973,0.0758174,0.04062079,0.07886107,0.07077969,0.035175677
ABCD2|225,0.008106662,7.8496043e-31,0.010025103,0.02090006,0.047969293,0.06732293,0.008627025,0.034760196,0.054063812,0.01797696
ABCG2|9429,0.037182275,0.025033752,0.02786204,0.034962796,0.03874434,0.062135067,0.034393806,0.039479885,0.054099057,0.039308064
ABHD12B|145447,0.026624052,0.009338761,0.025095774,0.007995965,0.00043583376,0.013356434,0.023694232,0.03368591,0.018343674,0.017952587
ABHD1|84696,0.031000394,0.02702039,0.02925679,0.023104127,0.014550164,0.036527865,0.036259353,0.024972074,0.028744083,0.027029287
ABI3BP|25890,0.025701089,0.019930426,0.0389857,0.05983934,0.058560815,0.0884586,0.046061464,0.061460145,0.0789849,0.053474188
ABLIM3|22885,0.05642102,0.0615483,0.043142922,0.06507201,0.052960902,0.08339827,0.053560603,0.05580589,0.06857895,0.056163438
ABO|28,0.024545962,0.000455778,0.017839383,0.013306126,0.025779907,0.033584666,0.0076507004,0.013089644,0.0378694,0.016902333
ABP1|26,5.8469874e-12,0.0013353943,0.0028587256,0.05318498,0.029763218,0.010929509,0.026609594,0.03369081,0.030859897,0.02363609
ABTB2|25841,0.025135795,0.0014897505,0.016791511,0.064430654,0.058858752,0.035203848,0.044162784,0.08618369,0.059124824,0.03981324
ACACB|32,0.05073385,0.039269563,0.04444277,0.057587687,0.048284568,0.09088277,0.05702477,0.06456008,0.08472724,0.0512374
ACADL|33,0.0046303556,0.0,0.0024785576,0.013887448,0.032094896,0.06430793,0.0054089134,0.0067248247,0.05724079,4.479918e-07
ACADSB|36,0.07453874,0.071265414,0.06159684,0.069824316,0.058016155,0.07330604,0.07132989,0.08840543,0.06538082,0.07420257
ACADS|35,0.060931057,0.023341248,0.039720558,0.0656534,0.050592735,0.060855813,0.06470863,0.048839487,0.06964305,0.04824653
ACAN|176,0.019864434,0.022185206,0.018854508,0.06033783,0.04564825,0.0045022997,0.03739128,0.07339348,0.056719854,0.030443598
ACAP1|9744,0.021844026,0.006774736,0.022689108,0.06791578,0.063322976,0.039177783,0.04151783,0.023853691,0.055818975,0.051741604
ACBD7|414149,0.031526744,0.017178928,0.01265952,0.037820246,0.05006654,0.02453126,0.044932127,0.06516634,0.040224947,0.036734875
ACCN1|40,1.1128418e-08,0.041169684,0.0044623553,0.012361331,2.6622727e-08,0.023519026,0.006553345,0.02525898,0.00729447,0.021771483
ACCN2|41,0.035633262,0.04517567,0.024791058,0.051066365,0.05732636,0.03950525,0.039348982,0.053422023,0.053197086,0.041269172
ACCN3|9311,0.029839976,0.036083736,0.01940128,0.044737037,0.020243445,0.012245891,0.048388634,0.006897128,0.025470221,0.03356947
ACE2|59272,2.38824e-28,0.0,0.0,0.024988981,0.08203213,0.028945412,0.00647877,0.0012634146,0.054400157,1.3996627e-15
ACER2|340485,0.03725455,0.03359317,0.04263125,0.037948288,0.037519485,0.053308554,0.0384267,0.06824991,0.04634878,0.03974471
ACHE|43,0.008864841,0.01846412,0.00616421,0.040762722,0.03775973,0.024463924,0.029451855,0.01843224,0.04532086,0.034337267
ACMSD|130013,0.027143445,0.03292987,0.017558012,0.0048090206,0.020104809,0.0093800435,0.0072173574,0.002559968,7.58404e-07,0.00986795
ACOT11|26027,0.024264934,0.014061404,0.016234258,0.04981381,0.039622497,0.025723603,0.043820128,0.05189036,0.038641684,0.035520177
ACOT4|122970,0.04721629,0.05107217,0.041063413,0.060162313,0.052942507,0.046306882,0.057826705,0.057616636,0.04478067,0.05239245
ACOT6|641372,0.0077139093,0.011186716,0.0067102006,0.016670456,0.014817146,0.022826655,0.013119461,0.015265882,0.011630088,0.008985242
ACOX2|8309,0.033846695,0.059216503,0.054688748,0.060776778,0.044555917,0.06479486,0.041436683,0.051243156,0.048780024,0.045578007
