?|57714,0.051249716,0.073390625,0.040520485,0.05914245,0.0474702,0.03356541,0.041269626,0.04534708,0.078745216,0.0397845
?|652919,0.01084254,0.017095277,0.0067783217,0.0026682059,0.015219059,0.012447845,0.010765091,0.018233167,0.014190818,0.025238167
?|729884,0.004739936,3.9461467e-33,0.0,0.0,0.0048245676,1.8246775e-10,0.040936574,0.0,0.013388112,0.0032672572
A1CF|29974,0.02666491,0.06338161,0.033528592,0.036836606,0.03425438,0.034938358,0.044322237,0.08565043,0.034761816,0.0378036
A2BP1|54715,0.0032055068,3.8659075e-24,0.02299688,6.191586e-22,0.007502733,0.015266819,0.0001544672,0.03490883,0.012456565,0.014076823
A2ML1|144568,0.0009240833,0.0,0.010386378,3.4120732e-20,1.9396409e-26,0.0,0.014499013,0.0,0.024666239,0.0042010206
A2M|2,0.06245546,0.08667485,0.06856229,0.070276655,0.0748735,0.05340955,0.059532,0.07383378,0.11450251,0.07099491
A4GALT|53947,0.03463816,0.04790142,0.043967184,0.050229445,0.045192383,0.021223217,0.033956774,0.021823054,0.087250434,0.03358925
AAA1|404744,0.0017859525,0.017765071,0.0032172096,0.0027886995,0.0033779005,0.004998648,8.207712e-37,5.5017495e-20,0.014488962,0.0
AADAC|13,0.011890801,0.019457797,0.009614688,0.00021171253,0.014584866,0.014170278,0.013047545,0.02300628,0.03449869,0.031090235
AADAT|51166,0.04330082,0.055244233,0.03629978,0.05339175,0.03022326,0.045959488,0.029743822,0.048949312,0.039510313,0.04664589
AASS|10157,0.025630012,0.03638948,0.03681313,0.0440992,0.03656208,0.03448133,0.033153877,0.04655862,0.05554765,0.045832735
AATK|9625,0.023246378,0.079976834,0.042240832,0.017187841,0.039997227,0.042058192,0.031850282,0.036399912,0.070156276,0.016509293
ABAT|18,0.02554406,0.07593545,0.05372001,0.051972628,0.043441743,0.04204092,0.06012508,0.075916395,0.04968313,0.047302913
ABCA10|10349,0.03128383,0.014932024,0.009488057,0.0035798873,0.01945395,0.015666513,0.002067429,0.014572292,0.0515286,0.03623527
ABCA12|26154,0.05224019,0.028228689,1.5261976e-07,2.9209525e-20,0.016748937,2.645698e-05,0.01022312,2.568963e-07,0.0312666,0.025561417
ABCA13|154664,0.00022795083,0.026214369,0.020172168,0.0256565,0.018418703,0.019029817,0.010244352,0.052742172,0.025925105,0.03582303
ABCA17P|650655,0.008817027,0.0063104182,0.009612897,0.007865996,0.010415634,0.027318241,0.017269025,3.1818134e-05,0.008226177,0.00844706
ABCA1|19,0.04563776,0.06649303,0.045045424,0.0556756,0.052374534,0.033762705,0.04604002,0.050338622,0.07779272,0.045044366
ABCA3|21,0.05856241,0.031663544,0.039597753,0.03028487,0.052254476,0.03191557,0.026611853,0.030459242,0.07914472,0.033517726
