?|57714,0.92180085,0.20665766,2.2726657,4.0996346,2.0295322,0.24845237,0.98081654,0.96859205,1.9220773,0.47556204
?|652919,1.0698254,0.13288352,0.049789693,0.15954132,2.0503464,2.4625638,1.8180547,0.42289194,0.03131821,3.194165
?|729884,2.1355045,1.2244542,1.4603033,0.6054832,1.2471939,0.5307065,1.9543087,0.011509149,0.5332509,0.71754223
A1CF|29974,1.2510195,0.76101184,0.056104474,0.4235704,1.446012,1.1790406,0.89669746,2.0621607,0.7009464,2.1037085
A2BP1|54715,1.4600033,0.72854114,1.0540102,1.103315,1.5477076,1.6412762,0.87569135,0.5301694,1.0410812,2.8107734
A2ML1|144568,1.5837646,0.032344278,1.9583147,1.0260181,1.2749873,0.2447555,2.132063,0.011392266,1.2773567,0.8365155
A2M|2,1.3915485,0.37120065,2.1474388,2.674281,1.9952619,0.4410181,1.1848081,0.21764822,0.583914,1.8759426
A4GALT|53947,1.396471,0.405881,1.6343791,2.788654,1.9234433,0.22678873,1.6602968,0.0642666,1.4056382,1.5701317
AAA1|404744,0.4598893,1.1480668,0.10152335,1.9022864,2.1047955,0.5252284,0.29820824,0.9958417,1.3989978,0.731001
AADAC|13,0.93322337,0.65339965,1.3818101,1.4057811,1.8111297,0.86109084,0.26670995,1.0152903,0.71700245,0.77153164
AADAT|51166,0.14312741,0.395944,0.44982815,3.292775,1.5807325,2.4150496,0.52167976,1.9552848,0.3183341,2.3018482
AASS|10157,1.4231725,0.3579846,1.4262178,1.5659096,1.8310417,1.0187322,1.5609756,0.062286384,1.1694881,2.1691144
AATK|9625,0.7801474,0.56798005,0.36054134,1.809296,1.8199891,1.0564046,0.3716127,1.2160792,0.95303243,1.9340129
ABAT|18,1.8951682,0.27284348,0.398413,1.2911177,1.7068564,1.1417675,1.6400509,1.2773902,0.3040088,2.1152215
ABCA10|10349,0.725514,0.6749944,2.9477677,1.5712122,1.8042556,2.282633,0.33005258,0.06566383,2.1756687,0.8347999
ABCA12|26154,0.0341036,0.45465422,2.5063918,1.6798644,0.009785426,2.0011246,1.8066566,1.2222816,1.4920204,0.39979994
ABCA13|154664,0.079858445,0.14645527,0.75141126,1.6156714,1.6826673,1.4135165,0.82843274,1.0959982,0.11448945,4.4711304
ABCA17P|650655,1.3043475,1.7837812,0.8423246,1.0769728,1.06078,0.63617104,0.75232345,0.30091387,0.13253269,1.8244445
ABCA1|19,1.5280712,0.21522479,1.9133878,2.8268795,1.8878497,0.16699223,1.6732156,0.56792694,0.35260886,1.678178
ABCA3|21,0.2673472,0.24392785,2.3649702,2.2859285,1.1534241,1.2681319,1.084289,0.09103,0.6366007,1.1722231
ABCA4|24,0.3902061,0.87863564,3.241547,0.93106747,0.55394924,2.810021,1.0763345,0.0111607965,0.021442296,1.8386533
