?|340602,0.011124332,0.01793559,0.0077890377,0.0034239662,0.011436897,0.01724725,0.016367344,0.00031699345,0.01363576,0.009847952
?|388795,0.015459887,0.020023147,0.006916952,7.666051e-35,0.0006754047,0.0051625893,0.007971927,0.033088055,0.00866957,0.016554967
?|652919,0.024001723,0.024416113,0.004805245,0.009107996,0.010494568,0.031573836,0.009602319,0.021951478,0.03394564,0.012177496
?|653553,0.06857151,0.07259173,0.073161915,0.07825974,0.01620039,0.053770408,0.044517692,0.07959706,0.05227074,0.10088872
?|729884,0.044516012,0.03196972,0.031256326,0.10788211,0.013239353,0.052279446,0.02578682,0.05900997,0.019734254,0.09531811
?|90288,0.027270919,0.03596875,0.008836503,0.0079000825,0.017334776,0.04350866,0.011249048,0.024887413,0.043945648,0.0051660584
A2BP1|54715,0.0055830907,1.190078e-16,8.8882704e-13,0.007867415,0.0,0.0012627696,0.0034874212,0.03725084,0.012603983,0.0039021072
A2ML1|144568,0.035117827,0.04078536,0.06335223,0.12545124,0.0,0.09225454,0.04030594,0.044018265,0.06326656,0.07684818
A2M|2,0.09464707,0.13214992,0.07345488,0.061297532,0.035228312,0.110662416,0.0661657,0.08103638,0.12489644,0.117508315
A4GALT|53947,0.065850064,0.077359036,0.06759094,0.079702266,0.014526072,0.062718436,0.03495729,0.0863603,0.073573664,0.10996184
AACSL|729522,0.013445849,0.010645355,0.009669324,3.4448993e-22,0.0,0.02593307,0.008312072,0.01567437,0.014997402,0.010481588
AADACL2|344752,0.0019007396,0.0075450838,0.014163806,0.052153546,0.0,0.008299333,0.03998974,0.039590508,0.022164525,0.014110774
AADAC|13,0.03726546,0.065248676,0.03018568,0.038149945,0.0,0.037256062,0.0036004924,0.08662038,0.025372503,0.07072905
AADAT|51166,0.047437698,0.04585458,0.049756996,0.025212113,0.024462942,0.03689764,0.04204762,0.064686194,0.055994257,0.04578749
ABAT|18,0.055146746,0.07638315,0.048270125,0.04379487,0.026563998,0.05440875,0.038175803,0.062038627,0.062357433,0.06471854
ABCA10|10349,0.03962123,0.039241612,0.022642676,0.011214597,0.009165357,0.027405709,0.0116057815,0.02289002,0.029866358,0.03574429
ABCA12|26154,0.04522454,0.049104225,0.051266693,0.08723007,0.015368739,0.05001631,0.03228677,0.06875322,0.03676352,0.099856734
ABCA13|154664,0.052837107,0.049007215,0.07414021,0.06915726,5.373742e-18,0.07418486,0.0063656317,0.10683878,0.059890445,0.10439196
ABCA17P|650655,0.028011166,0.019051606,0.02963604,0.0034446768,0.008817872,0.018573811,0.03155167,0.044756055,0.015316606,0.01802228
ABCA3|21,0.07965558,0.12448727,0.045789566,0.02685285,0.022015676,0.08421835,0.03267261,0.07993725,0.0957507,0.07950222
ABCA4|24,0.03423822,0.04572447,0.025635371,0.027911011,0.00034563607,0.042850304,0.014297435,0.07247597,0.02123092,0.06730253
ABCA6|23460,0.0455716,0.051583868,0.021737562,0.013367399,0.013148855,0.06795213,0.025212592,0.0057707396,0.07270732,0.053841524
ABCA8|10351,0.040028434,0.07662605,0.0011345901,0.0047783577,0.013419719,0.06450957,0.023605112,0.0027123939,0.07727317,0.037237078
ABCA9|10350,0.04168109,0.039868526,0.019767508,0.01658605,0.014138046,0.048758224,0.023666298,0.011484128,0.060381208,0.051636048
ABCB11|8647,0.010851138,0.0136985,8.547381e-12,0.006004186,0.0033718194,0.014687296,4.077526e-15,0.010816298,0.0029171773,0.0169191
ABCB1|5243,0.036918394,0.042331245,0.017304974,0.021144545,0.019292383,0.06547603,0.03236607,0.006352019,0.05912254,0.039764456
ABCB4|5244,0.025899846,0.020880423,0.012018446,0.0050594737,0.009404033,0.046208397,0.021849537,0.0050698174,0.038424816,0.027760724
ABCB5|340273,0.01198087,0.026184348,0.0069568134,7.4262483e-25,0.00082668377,0.010342422,0.0060965936,0.014121205,0.01677781,0.0070684967
ABCC13|150000,0.0051901788,0.032847,1.7222131e-24,0.0073612705,0.0,0.021672858,9.2470414e-23,0.020627823,0.012734535,4.8432054e-07
ABCC1|4363,0.08125359,0.09108018,0.092408895,0.07851829,0.025674554,0.07623166,0.059101548,0.12938534,0.085043006,0.12750067
ABCC2|1244,0.035246544,0.03924047,0.029300405,0.014760661,0.016066391,0.0072939303,0.022195678,0.05957563,0.00060380006,0.07255466
ABCC3|8714,0.07701295,0.077102035,0.05067519,0.057918977,0.02066673,0.04361184,0.043062314,0.07871874,0.06375994,0.10946901
ABCC5|10057,0.081400156,0.08710343,0.099251576,0.08933861,0.02134417,0.083075136,0.05843084,0.13084726,0.06972564,0.11855122
ABCC6P1|653190,0.034881145,0.038931273,0.001961104,4.891995e-06,0.014548447,0.024668999,0.002890701,2.213499e-09,0.026954306,0.0029090885
ABCC6P2|730013,0.039157644,0.049843337,0.017179586,0.003346054,0.018053593,0.026710125,0.013143253,0.019202333,0.032258276,0.022176001
ABCC6|368,0.058511175,0.074976586,0.021082027,0.014967146,0.02108979,0.0453956,0.017105618,0.027429743,0.055074554,0.03782752
ABCC8|6833,0.010726314,0.033603404,0.01199053,0.0070035914,0.031718552,0.0019036744,0.0041715885,0.031760346,0.018669987,1.3668543e-07
ABCC9|10060,0.04807443,0.073280595,0.03496805,0.025074983,0.016014028,0.05632763,0.029617911,0.036208898,0.076968424,0.07411679
ABCD2|225,0.029330356,0.018561006,0.012406633,0.0050610886,0.0068868236,0.08045208,0.017607255,2.8039773e-09,0.0445107,0.02780584
ABCG2|9429,0.032441355,0.060627628,0.025131416,0.044464044,0.013309592,0.03828324,0.025818575,0.050914522,0.05433078,0.056343548
ABHD12B|145447,0.008251153,0.012376643,3.3483033e-08,0.034349073,0.004796472,0.017193642,0.010992891,0.010342025,0.0377506,0.012517567
