?|340602,1.0534472,0.27759656,0.17028943,1.8205649,2.5814636,3.200064,0.08718537,1.4469287,0.86296487,0.95427805
?|388795,1.7423723,0.3366669,1.3339729,1.3035967,0.80793005,1.0148176,1.4842945,1.1140954,0.777907,0.5565525
?|652919,0.031701386,0.66943777,1.9460187,0.92370766,0.12179658,2.4179327,0.922104,1.3518368,1.429884,0.096366554
?|653553,1.9040914,1.4169707,3.3178933,0.34975418,2.655599,0.24694036,1.1192275,1.0258524,0.28340542,1.6779133
?|729884,2.1269035,1.9773791,2.0107913,1.151477,3.4269023,0.023369376,0.66733557,0.13709575,0.07142126,1.8199418
?|90288,0.5353178,1.142402,1.7515156,1.9703362,0.047690462,3.7316039,0.724037,1.6623493,0.4249121,0.7644776
A2BP1|54715,2.074672,0.53114575,1.6307659,0.8123792,0.53247863,0.65162855,1.0580772,0.4794433,0.6501122,0.85170555
A2ML1|144568,1.1862506,1.3882853,1.5019945,0.7778876,1.8592813,0.69666797,0.58776605,0.4707391,0.65254325,1.8979847
A2M|2,0.05375027,1.0504423,2.667939,1.6631823,1.131745,2.3713782,0.87165445,0.8972219,1.5968245,0.7653891
A4GALT|53947,1.7760812,1.027813,3.4628067,0.2039121,1.831004,0.1063894,0.832896,0.65467185,0.8262119,1.3553165
AACSL|729522,0.26413363,0.12095578,1.6990482,0.79161143,1.3340966,1.1893495,1.4239175,0.9623941,0.39261264,0.6242183
AADACL2|344752,1.8947791,1.6199226,1.6483692,0.5166514,1.1380666,0.76614994,0.3890566,0.13652079,0.6744885,1.4350271
AADAC|13,1.3422225,0.9805738,2.400372,0.30944306,1.1727134,0.60399866,1.5816697,1.0205841,0.27291408,0.6083673
AADAT|51166,0.6512991,0.62639076,0.2868907,2.666819,0.052024752,1.3018863,0.7718005,1.2296182,1.4108467,2.6710296
ABAT|18,1.061568,1.2139598,2.6057801,0.9626228,0.54460657,2.6417465,0.119624496,2.5612717,1.552944,0.159222
ABCA10|10349,0.052821793,0.83293605,3.4205775,1.0453233,1.1670035,2.2197886,1.6462151,1.588589,0.4128282,0.6029168
ABCA12|26154,1.8278422,1.5003395,2.105518,1.1896286,2.814087,0.088452935,0.1088737,0.12418622,0.5413007,1.9135439
ABCA13|154664,1.3334217,0.7278765,2.5310247,0.7860453,1.6014534,0.5651065,1.5340163,0.58676267,0.48907784,1.161511
ABCA17P|650655,1.0430589,0.28991866,0.42081398,1.1772237,0.8178802,0.6070625,1.5434394,1.814421,0.4231117,1.3949734
ABCA3|21,0.28494042,0.9767258,2.6745555,1.7041218,0.6995454,1.7057726,1.6190158,1.4353826,1.4319345,0.061098628
ABCA4|24,1.7675139,0.45251587,3.0471292,0.72967815,1.5736735,0.03951707,0.88262254,0.84804183,0.91771746,1.1985677
ABCA6|23460,0.030398414,0.6728638,2.9431376,1.8012652,1.2616354,2.2754517,0.9746667,0.7758135,1.3389071,1.0745919
ABCA8|10351,0.02239379,0.90711266,2.5781243,1.5564797,0.8792361,2.2011352,0.9357598,0.660288,1.2277377,0.5501021
ABCA9|10350,0.03549171,0.90896446,3.7120202,2.0211751,0.7500993,2.489111,0.93192655,1.0401628,1.0153563,1.6083336
ABCB11|8647,0.06916228,1.6415534,1.1462702,1.183471,2.6632867,0.86913645,0.7496717,0.5360411,0.4202382,0.34228298
ABCB1|5243,0.030008046,0.7026413,2.71017,1.6306244,0.9035847,2.6332834,0.75140375,0.66124135,1.0985675,1.3157347
ABCB4|5244,0.05627499,0.3645783,1.8667859,1.9294528,1.2339046,2.1628509,0.99289745,1.0462708,0.87794447,1.5964754
